,season,round,circuit_id,driver,date_of_birth,nationality,constructor,grid,time,status,points,podium
0,1990,1,phoenix,senna,1960-03-21,Brazilian,mclaren,5,6752829.0,Finished,9.0,1
1,1990,1,phoenix,alesi,1964-06-11,French,tyrrell,4,6761514.0,Finished,6.0,2
2,1990,1,phoenix,boutsen,1957-07-13,Belgian,williams,9,6806909.0,Finished,4.0,3
3,1990,1,phoenix,piquet,1952-08-17,Brazilian,benetton,6,6821187.0,Finished,3.0,4
4,1990,1,phoenix,modena,1963-05-12,Italian,brabham,10,6822332.0,Finished,2.0,5
5,1990,1,phoenix,satoru_nakajima,1953-02-23,Japanese,tyrrell,11,,+1 Lap,1.0,6
6,1990,1,phoenix,martini,1961-04-23,Italian,minardi,2,,+1 Lap,0.0,7
7,1990,1,phoenix,bernard,1964-08-24,French,larrousse,15,,+1 Lap,0.0,8
8,1990,1,phoenix,patrese,1954-04-17,Italian,williams,12,,+1 Lap,0.0,9
9,1990,1,phoenix,alboreto,1956-12-23,Italian,arrows,21,,+2 Laps,0.0,10
10,1990,1,phoenix,nannini,1959-07-07,Italian,benetton,22,,+2 Laps,0.0,11
11,1990,1,phoenix,schneider,1964-07-20,German,arrows,20,,+2 Laps,0.0,12
12,1990,1,phoenix,moreno,1959-02-11,Brazilian,eurobrun,16,,+5 Laps,0.0,13
13,1990,1,phoenix,gugelmin,1963-04-20,Brazilian,leyton,25,,+6 Laps,0.0,14
14,1990,1,phoenix,barilla,1961-04-20,Italian,minardi,14,,Physical,0.0,15
15,1990,1,phoenix,suzuki,1960-09-08,Japanese,larrousse,18,,Brakes,0.0,16
16,1990,1,phoenix,mansell,1953-08-08,British,ferrari,17,,Clutch,0.0,17
17,1990,1,phoenix,berger,1959-08-27,Austrian,mclaren,1,,Clutch,0.0,18
18,1990,1,phoenix,foitek,1965-03-27,Swiss,brabham,23,,Accident,0.0,19
19,1990,1,phoenix,grouillard,1958-09-02,French,osella,8,,Collision,0.0,20
20,1990,1,phoenix,cesaris,1959-05-31,Italian,dallara,3,,Engine,0.0,21
21,1990,1,phoenix,prost,1955-02-24,French,ferrari,7,,Oil leak,0.0,22
22,1990,1,phoenix,capelli,1963-05-24,Italian,leyton,26,,Electrical,0.0,23
23,1990,1,phoenix,warwick,1954-08-27,British,team_lotus,24,,Gearbox,0.0,24
24,1990,1,phoenix,larini,1964-03-19,Italian,ligier,13,,Throttle,0.0,25
25,1990,1,phoenix,donnelly,1964-03-26,British,team_lotus,19,,Gearbox,0.0,26
26,1990,1,phoenix,alliot,1954-07-27,French,ligier,0,,Disqualified,0.0,27
27,1990,1,phoenix,johansson,1956-09-08,Swedish,onyx,0,,Did not qualify,0.0,28
28,1990,1,phoenix,morbidelli,1968-01-13,Italian,dallara,0,,Did not qualify,0.0,29
29,1990,1,phoenix,lehto,1966-01-31,Finnish,onyx,0,,Did not qualify,0.0,30
30,1990,2,interlagos,prost,1955-02-24,French,ferrari,6,5841258.0,Finished,9.0,1
31,1990,2,interlagos,berger,1959-08-27,Austrian,mclaren,2,5854822.0,Finished,6.0,2
32,1990,2,interlagos,senna,1960-03-21,Brazilian,mclaren,1,5878980.0,Finished,4.0,3
33,1990,2,interlagos,mansell,1953-08-08,British,ferrari,5,5888524.0,Finished,3.0,4
34,1990,2,interlagos,boutsen,1957-07-13,Belgian,williams,3,,+1 Lap,2.0,5
