,season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
0,1990,1,mclaren,0.0,0.0,0.0
1,1990,1,tyrrell,0.0,0.0,0.0
2,1990,1,williams,0.0,0.0,0.0
3,1990,1,benetton,0.0,0.0,0.0
4,1990,1,brabham,0.0,0.0,0.0
5,1990,1,minardi,0.0,0.0,0.0
6,1990,1,larrousse,0.0,0.0,0.0
7,1990,1,arrows,0.0,0.0,0.0
8,1990,1,eurobrun,0.0,0.0,0.0
9,1990,1,leyton,0.0,0.0,0.0
10,1990,1,ferrari,0.0,0.0,0.0
11,1990,1,osella,0.0,0.0,0.0
12,1990,1,dallara,0.0,0.0,0.0
13,1990,1,team_lotus,0.0,0.0,0.0
14,1990,1,ligier,0.0,0.0,0.0
15,1990,1,onyx,0.0,0.0,0.0
16,1990,1,ags,0.0,0.0,0.0
17,1990,1,life,0.0,0.0,0.0
18,1990,1,coloni,0.0,0.0,0.0
19,1990,2,mclaren,9.0,1.0,1.0
20,1990,2,ferrari,0.0,0.0,11.0
21,1990,2,tyrrell,7.0,0.0,2.0
22,1990,2,williams,4.0,0.0,3.0
23,1990,2,benetton,3.0,0.0,4.0
24,1990,2,brabham,2.0,0.0,5.0
25,1990,2,minardi,0.0,0.0,6.0
26,1990,2,larrousse,0.0,0.0,7.0
27,1990,2,arrows,0.0,0.0,8.0
28,1990,2,ligier,0.0,0.0,15.0
29,1990,2,eurobrun,0.0,0.0,9.0
30,1990,2,dallara,0.0,0.0,13.0
31,1990,2,leyton,0.0,0.0,10.0
32,1990,2,team_lotus,0.0,0.0,14.0
33,1990,2,ags,0.0,0.0,17.0
34,1990,2,osella,0.0,0.0,12.0
35,1990,2,onyx,0.0,0.0,16.0
36,1990,2,coloni,0.0,0.0,19.0
37,1990,2,life,0.0,0.0,18.0
38,1990,3,mclaren,19.0,1.0,1.0
39,1990,3,williams,6.0,0.0,4.0
40,1990,3,ferrari,12.0,1.0,2.0
41,1990,3,benetton,4.0,0.0,5.0
42,1990,3,tyrrell,7.0,0.0,3.0
43,1990,3,brabham,2.0,0.0,6.0
44,1990,3,team_lotus,0.0,0.0,14.0
45,1990,3,minardi,0.0,0.0,7.0
46,1990,3,larrousse,0.0,0.0,8.0
47,1990,3,ligier,0.0,0.0,10.0
48,1990,3,arrows,0.0,0.0,9.0
49,1990,3,onyx,0.0,0.0,17.0
50,1990,3,eurobrun,0.0,0.0,11.0
51,1990,3,dallara,0.0,0.0,12.0
52,1990,3,leyton,0.0,0.0,13.0
53,1990,3,osella,0.0,0.0,16.0
54,1990,3,ags,0.0,0.0,15.0
55,1990,3,coloni,0.0,0.0,18.0
56,1990,3,life,0.0,0.0,19.0
57,1990,4,mclaren,25.0,1.0,1.0
58,1990,4,williams,15.0,1.0,2.0
59,1990,4,ferrari,15.0,1.0,3.0
60,1990,4,tyrrell,8.0,0.0,5.0
61,1990,4,benetton,10.0,0.0,4.0
62,1990,4,arrows,0.0,0.0,11.0
63,1990,4,brabham,2.0,0.0,6.0
64,1990,4,larrousse,0.0,0.0,9.0
65,1990,4,team_lotus,0.0,0.0,7.0
66,1990,4,minardi,0.0,0.0,8.0
67,1990,4,onyx,0.0,0.0,12.0
68,1990,4,ligier,0.0,0.0,10.0
69,1990,4,eurobrun,0.0,0.0,13.0
70,1990,4,dallara,0.0,0.0,14.0
71,1990,4,leyton,0.0,0.0,15.0
72,1990,4,osella,0.0,0.0,16.0
73,1990,4,ags,0.0,0.0,17.0
74,1990,4,coloni,0.0,0.0,18.0
75,1990,4,life,0.0,0.0,19.0
76,1990,5,mclaren,38.0,2.0,1.0
77,1990,5,ferrari,15.0,1.0,3.0
78,1990,5,williams,18.0,1.0,2.0
79,1990,5,benetton,10.0,0.0,5.0
80,1990,5,tyrrell,14.0,0.0,4.0
81,1990,5,brabham,2.0,0.0,7.0
82,1990,5,arrows,2.0,0.0,6.0
83,1990,5,team_lotus,0.0,0.0,9.0
84,1990,5,larrousse,1.0,0.0,8.0
85,1990,5,minardi,0.0,0.0,10.0
86,1990,5,onyx,0.0,0.0,11.0
87,1990,5,ligier,0.0,0.0,12.0
88,1990,5,leyton,0.0,0.0,15.0
89,1990,5,osella,0.0,0.0,16.0
90,1990,5,eurobrun,0.0,0.0,13.0
91,1990,5,dallara,0.0,0.0,14.0
92,1990,5,ags,0.0,0.0,17.0
93,1990,5,coloni,0.0,0.0,18.0
94,1990,5,life,0.0,0.0,19.0
95,1990,6,mclaren,50.0,3.0,1.0
96,1990,6,ferrari,21.0,1.0,2.0
97,1990,6,williams,18.0,1.0,3.0
